Date,oil Price,Usd,Kospi,gold,open,high,low,close,volume,value
2018-01-01,,1067.38,,,19278000,19420000,18290000,18860000,27949.676134,5.29E+11
2018-01-02,64.84,1066.6,2474.86,1305.3,18875000,21720000,18510000,20263000,41968.473009,8.19E+11
2018-01-03,65.13,1062.88,2484.63,1319,20263000,21329000,19520000,20900000,43168.257605,8.89E+11
2018-01-04,66.13,1065.13,2502.5,1315.5,20899000,23685000,19700000,23402000,45192.451742,9.79E+11
2018-01-05,65.86,1061.83,2476.85,1324.4,23403000,28589000,22338000,27444000,56774.849842,1.42E+12
2018-01-06,,,,,27451000,28885000,23966000,26924000,48971.928131,1.28E+12
2018-01-07,,,,,26924000,27210000,24543000,25859000,31015.722586,8.06E+11
2018-01-08,65.85,1062.21,2510.7,1321.8,25859000,26449000,23850000,25230000,44839.783322,1.14E+12
2018-01-09,66.39,1068.87,2510.73,1321.2,25200000,25786000,22858000,24016000,41558.529686,1.01E+12
2018-01-10,67.24,1071.97,2516.33,1313.3,24015000,24200000,19689000,21317000,43736.286933,9.70E+11
2018-01-11,67.38,1070.14,2496.86,1317.5,21300000,21890000,14104000,19389000,61924.52562,1.18E+12
2018-01-12,67.17,1065.58,2499.87,1323.6,19359000,21143000,18005000,20745000,43734.142108,8.58E+11
2018-01-13,,,,,20750000,21399000,19886000,21135000,30172.384529,6.34E+11
2018-01-14,,,,,21130000,21299000,18131000,19206000,30105.530098,5.87E+11
2018-01-15,67.78,1056.65,2510.97,1337.3,19210000,20143000,18201000,19106000,29582.952499,5.72E+11
2018-01-16,67.54,1063.43,2504.16,1339.2,19107000,19219000,11543000,14279000,59293.114062,9.47E+11
2018-01-17,67.07,1064.65,2517.19,1339,14279000,15722000,11901000,14951000,60203.177011,8.10E+11
2018-01-18,67.2,1067.36,2527.67,1327.4,14954000,16370000,13650000,14880000,44001.920228,6.51E+11
2018-01-19,66.48,1070.18,2519.67,1327,14879000,15448000,14352000,15372000,27555.994773,4.12E+11
2018-01-20,,,,,15370000,17208000,15225000,16858000,51147.456418,8.45E+11
2018-01-21,,,,,16852000,16943000,13735000,14640000,44140.370589,6.61E+11
2018-01-22,66.89,1067.66,2516.9,1334,14640000,14910000,12981000,13944000,30529.675258,4.25E+11
2018-01-23,67.32,1069.4,2510.35,1333,13968000,14044000,12311000,13141000,28032.382386,3.69E+11
2018-01-24,67.61,1073.89,2533.86,1341.4,13139000,13780000,12600000,13450000,24236.062331,3.18E+11
2018-01-25,68.46,1064.57,2536.96,1357,13450000,13900000,12800000,12973000,18943.756356,2.51E+11
2018-01-26,67.94,1066.47,2560.69,1346.4,12973000,13350000,11500000,12876000,30279.961477,3.79E+11
2018-01-27,,,,,12876000,13132000,12300000,12900000,18535.39985,2.35E+11
2018-01-28,,,,,12903000,13570000,12810000,13352000,20508.736725,2.72E+11
2018-01-29,67.6,1064.5,2588.87,1349,13351000,13489000,12560000,12909000,15844.072789,2.06E+11
2018-01-30,66.6,1070.95,2590.41,1344,12909000,12957000,11310000,11627000,21206.170244,2.59E+11
2018-01-31,66.28,1073.23,2557.37,1341.8,11658000,11900000,10400000,11429000,23175.021094,2.59E+11
2018-02-01,66.88,1070.12,2578.91,1348.2,11439000,11490000,10011000,10070000,22225.675511,2.37E+11
2018-02-02,67.11,1071.1,2565.99,1352.2,10061000,10120000,7830000,9410000,52018.460953,4.66E+11
2018-02-03,,,,,9410000,10200000,8400000,9520000,25405.737224,2.36E+11
2018-02-04,,,,,9524000,10158000,8765000,8900000,18781.023899,1.78E+11
2018-02-05,65.75,1089.65,2487.34,1334.6,8900000,9250000,7715000,7832000,20709.599173,1.76E+11
2018-02-06,64.89,1095.13,2437.02,1343.1,7831000,8698000,6620000,8642000,44456.451723,3.35E+11
2018-02-07,64.36,1080.06,2483.72,1326.6,8646000,9199000,7990000,8387000,33928.156343,2.94E+11
2018-02-08,62.74,1090.24,2400.17,1320.7,8410000,9690000,8410000,9480000,38113.825465,3.51E+11
2018-02-09,61.57,1097.58,2346.73,1321,9479000,9934000,9041000,9929000,29459.153094,2.77E+11
2018-02-10,,,,,9929000,10656000,9475000,9959000,33057.119646,3.35E+11
2018-02-11,,,,,9958000,10045000,9021000,9320000,17672.616153,1.67E+11
2018-02-12,61.04,1084.61,2380.49,1317.1,9319000,10195000,9305000,10140000,14756.722859,1.45E+11
2018-02-13,60.52,1082.61,2402.89,1325,10149000,10220000,9630000,9906000,13735.570739,1.36E+11
2018-02-14,60.62,1085.06,2412.47,1331.9,9906000,10510000,9896000,10473000,17264.671059,1.77E+11
2018-02-15,62.09,1070.91,,1353,10473000,11459000,10355000,11357000,26678.520118,2.93E+11
2018-02-16,62.41,1064.04,,1356.6,11357000,11800000,11151000,11462000,20284.751923,2.32E+11
2018-02-17,,,,,11452000,12318000,11400000,12300000,34046.218874,4.06E+11
2018-02-18,,,,,12300000,12755000,11522000,11966000,44163.198511,5.38E+11
2018-02-19,62.89,1066.61,2452.52,1350.2,11966000,12663000,11862000,12649000,22700.151875,2.78E+11
2018-02-20,62.81,1067.41,2433.35,1350.2,12649000,14149000,12645000,13548000,41015.584774,5.47E+11
2018-02-21,62.5,1074.91,2417.73,1331.2,13542000,13650000,12411000,12815000,37637.768327,4.93E+11
2018-02-22,63.08,1076.01,2417.18,1326.2,12823000,13031000,11660000,11763000,37219.856172,4.55E+11
2018-02-23,64.15,1080.72,2427.13,1333.7,11761000,12170000,11271000,12065000,31053.115545,3.65E+11
2018-02-24,,,,,12065000,12359000,11281000,11553000,21762.374174,2.58E+11
2018-02-25,,,,,11553000,11613000,10805000,11230000,16499.63847,1.86E+11
2018-02-26,65.18,1076.99,2465.35,1330.4,11230000,11884000,10828000,11773000,24307.108122,2.76E+11
2018-02-27,64.99,1070.67,2474.08,1334.7,11778000,12165000,11463000,11951000,20616.46008,2.45E+11
2018-02-28,63.97,1081.45,2447.11,1318.9,11957000,12405000,11777000,11860000,21114.428025,2.54E+11
2018-03-01,62.17,1085.21,,1319.3,11865000,12250000,11603000,12214000,20882.28518,2.49E+11
2018-03-02,61.57,1082.84,2406.57,1318,12214000,12581000,12123000,12465000,23945.117557,2.96E+11
2018-03-03,,,,,12465000,12831000,12347000,12831000,18163.175191,2.29E+11
2018-03-04,,,,,12831000,12840000,12255000,12592000,16125.743255,2.01E+11
2018-03-05,62.87,1079.59,2405.92,1324.9,12592000,12899000,12451000,12746000,13919.500362,1.76E+11
2018-03-06,63.24,1077.67,2400.67,1321,12745000,12746000,11900000,12023000,15007.199784,1.85E+11
2018-03-07,62.68,1063.96,2413.39,1339.5,12023000,12221000,10900000,11200000,29131.720461,3.38E+11
2018-03-08,61.85,1067.43,2420.67,1326.2,11200000,11347000,10473000,10517000,21348.232842,2.33E+11
2018-03-09,61.95,1074.11,2443.43,1322.7,10519000,10644000,9306000,10418000,36119.232918,3.59E+11
2018-03-10,,,,,10418000,10537000,9802000,9863000,16901.377968,1.74E+11
2018-03-11,,,,,9863000,10636000,9552000,10520000,22131.282542,2.23E+11
2018-03-12,62.53,1065.19,2485.64,1324.1,10519000,10879000,9895000,10213000,23224.579712,2.43E+11
2018-03-13,62.15,1065.03,2483.05,1323.3,10213000,10355000,9900000,10168000,16134.014535,1.64E+11
2018-03-14,61.97,1066.87,2477.43,1326.7,10167000,10265000,9000000,9153000,19491.850463,1.89E+11
2018-03-15,62.24,1064.56,2486,1324.7,9141000,9300000,8438000,9115000,28078.895446,2.50E+11
2018-03-16,62.74,1069.77,2495.11,1316.8,9115000,9310000,8763000,9095000,14610.882159,1.33E+11
2018-03-17,,,,,9095000,9150000,8521000,8667000,9640.0558231,85560272227
